starting compiler:
Linp	 <pos> 3
Linp	 <pos> 2
Linp	 <pos> 1
Lwt		 <pos> 0	 <cm_addr> 2032
Lwt		 <pos> 0	 <cm_addr> 1
Lwt		 <pos> 0	 <cm_addr> 17
Lwt		 <pos> 0	 <cm_addr> 33
Lwt		 <pos> 0	 <cm_addr> 49
Lwt		 <pos> 0	 <cm_addr> 65
Lwt		 <pos> 0	 <cm_addr> 81
Lwt		 <pos> 0	 <cm_addr> 97
Lwt		 <pos> 0	 <cm_addr> 113
Lwt		 <pos> 0	 <cm_addr> 129
Lwt		 <pos> 0	 <cm_addr> 145
Lwt		 <pos> 0	 <cm_addr> 161
Lwt		 <pos> 0	 <cm_addr> 177
Lwt		 <pos> 0	 <cm_addr> 193
Lwt		 <pos> 0	 <cm_addr> 209
Lwt		 <pos> 0	 <cm_addr> 225
Lwt		 <pos> 0	 <cm_addr> 241
Lwt		 <pos> 0	 <cm_addr> 257
Lwt		 <pos> 0	 <cm_addr> 273
Lwt		 <pos> 0	 <cm_addr> 289
Lwt		 <pos> 0	 <cm_addr> 305
Lwt		 <pos> 0	 <cm_addr> 321
Lwt		 <pos> 0	 <cm_addr> 337
Lwt		 <pos> 0	 <cm_addr> 353
Lwt		 <pos> 0	 <cm_addr> 369
Lwt		 <pos> 0	 <cm_addr> 385
Lwt		 <pos> 0	 <cm_addr> 401
Lwt		 <pos> 0	 <cm_addr> 417
Lwt		 <pos> 0	 <cm_addr> 433
Lwt		 <pos> 0	 <cm_addr> 449
Lwt		 <pos> 0	 <cm_addr> 465
Lwt		 <pos> 0	 <cm_addr> 481
Lwt		 <pos> 0	 <cm_addr> 497
Lwt		 <pos> 0	 <cm_addr> 513
Lwt		 <pos> 0	 <cm_addr> 529
Lwt		 <pos> 0	 <cm_addr> 545
Lwt		 <pos> 0	 <cm_addr> 561
Lwt		 <pos> 0	 <cm_addr> 577
Lwt		 <pos> 0	 <cm_addr> 593
Lwt		 <pos> 0	 <cm_addr> 609
Lwt		 <pos> 0	 <cm_addr> 625
Lwt		 <pos> 0	 <cm_addr> 641
Lwt		 <pos> 0	 <cm_addr> 657
Lwt		 <pos> 0	 <cm_addr> 673
Lwt		 <pos> 0	 <cm_addr> 689
Lwt		 <pos> 0	 <cm_addr> 705
Lwt		 <pos> 0	 <cm_addr> 721
Lwt		 <pos> 0	 <cm_addr> 737
Lwt		 <pos> 0	 <cm_addr> 753
Lwt		 <pos> 0	 <cm_addr> 769
Lwt		 <pos> 0	 <cm_addr> 785
Lwt		 <pos> 0	 <cm_addr> 801
Lwt		 <pos> 0	 <cm_addr> 817
Lwt		 <pos> 0	 <cm_addr> 833
Lwt		 <pos> 0	 <cm_addr> 849
Lwt		 <pos> 0	 <cm_addr> 865
Lwt		 <pos> 0	 <cm_addr> 881
Lwt		 <pos> 0	 <cm_addr> 897
Lwt		 <pos> 0	 <cm_addr> 913
Lwt		 <pos> 0	 <cm_addr> 929
Lwt		 <pos> 0	 <cm_addr> 945
Lwt		 <pos> 0	 <cm_addr> 961
